Producto [idProducto=ID001, nombreProducto=Tomate, categoria=Verduras, precio=100.5, cantidadDisponible=10]
Producto [idProducto=ID002, nombreProducto=Pepino, categoria=Verduras, precio=150.0, cantidadDisponible=20]
Producto [idProducto=ID003, nombreProducto=Acelga, categoria=Verduras, precio=200.0, cantidadDisponible=5]
Producto [idProducto=ID004, nombreProducto=Espinaca, categoria=Verduras, precio=100.5, cantidadDisponible=10]
Producto [idProducto=ID005, nombreProducto=Huevo, categoria=Proteinas, precio=150.0, cantidadDisponible=20]
Producto [idProducto=ID006, nombreProducto=Pescado, categoria=Proteinas, precio=200.0, cantidadDisponible=5]
Producto [idProducto=ID007, nombreProducto=Carne, categoria=Proteinas, precio=100.5, cantidadDisponible=10]
Producto [idProducto=ID008, nombreProducto=Queso, categoria=Lacteos, precio=150.0, cantidadDisponible=20]
Producto [idProducto=ID009, nombreProducto=Leche, categoria=Lacteos, precio=200.0, cantidadDisponible=5]
Producto [idProducto=ID010, nombreProducto=Mantequilla, categoria=Lacteos, precio=100.5, cantidadDisponible=10]
Producto [idProducto=ID011, nombreProducto=Trigo, categoria=Cereal, precio=150.0, cantidadDisponible=20]
Producto [idProducto=ID012, nombreProducto=Maiz, categoria=Cereal, precio=200.0, cantidadDisponible=5]
Producto [idProducto=ID013, nombreProducto=Avena, categoria=Cereal, precio=100.5, cantidadDisponible=10]
Producto [idProducto=ID014, nombreProducto=Nuez, categoria=Semillas, precio=150.0, cantidadDisponible=20]
Producto [idProducto=ID015, nombreProducto=Quinoa, categoria=Semillas, precio=200.0, cantidadDisponible=5]
